Timestamp,Raw_Range,Range_m
09:01:21,-0.927,-1.432
09:01:21,-1.730,-1.633
09:01:21,-2.108,-1.727
09:01:21,-2.288,-1.772
09:01:21,-2.543,-1.836
09:01:21,-2.589,-1.847
09:01:21,-2.521,-1.830
09:01:21,-2.527,-1.832
09:01:21,-2.386,-1.796
09:01:21,-2.029,-1.707
09:01:21,-1.551,-1.588
09:01:21,-0.841,-1.410
09:01:22,0.504,-1.074
09:01:22,2.059,-0.685
09:01:22,3.109,-0.423
09:01:22,3.985,-0.204
09:01:22,4.762,-0.010
09:01:22,5.871,0.268
09:01:22,8.271,0.868
09:01:22,10.953,1.538
09:01:22,11.833,1.758
09:01:22,12.530,1.933
09:01:22,12.999,2.050
09:01:22,13.262,2.115
09:01:22,13.541,2.185
09:01:22,14.044,2.311
09:01:22,14.423,2.406
09:01:22,15.540,2.685
09:01:22,16.496,2.924
09:01:22,17.221,3.105
09:01:22,17.755,3.239
09:01:23,18.113,3.328
09:01:23,18.432,3.408
09:01:23,18.659,3.465
09:01:23,19.000,3.550
09:01:23,20.009,3.802
09:01:23,20.954,4.039
09:01:23,21.276,4.119
09:01:23,21.554,4.189
09:01:23,21.828,4.257
09:01:23,22.060,4.315
09:01:23,22.692,4.473
09:01:23,23.489,4.672
09:01:23,24.541,4.935
09:01:23,25.725,5.231
09:01:23,27.028,5.557
09:01:23,28.135,5.834
09:01:23,28.180,5.845
09:01:23,28.948,6.037
09:01:23,30.059,6.315
09:01:23,31.078,6.569
09:01:23,31.706,6.727
09:01:24,31.779,6.745
09:01:24,31.268,6.617
09:01:24,30.585,6.446
09:01:24,30.168,6.342
09:01:24,30.232,6.358
09:01:24,29.991,6.298
09:01:24,29.683,6.221
09:01:24,29.576,6.194
09:01:24,29.678,6.219
09:01:24,29.908,6.277
09:01:24,30.212,6.353
09:01:24,30.553,6.438
09:01:24,30.876,6.519
09:01:24,31.152,6.588
09:01:24,31.386,6.647
09:01:24,31.553,6.688
09:01:24,31.537,6.684
09:01:24,31.580,6.695
09:01:24,31.808,6.752
09:01:24,31.952,6.788
09:01:25,31.912,6.778
09:01:25,31.289,6.622
09:01:25,31.443,6.661
09:01:25,33.366,7.141
09:01:25,31.170,6.592
09:01:25,34.004,7.301
09:01:25,34.631,7.458
09:01:25,34.858,7.515
09:01:25,32.623,6.956
09:01:25,32.165,6.841
09:01:25,31.618,6.704
09:01:25,33.811,7.253
09:01:25,34.761,7.490
09:01:25,32.370,6.892
09:01:25,29.882,6.271
09:01:25,28.226,5.857
09:01:25,27.162,5.590
09:01:25,26.104,5.326
09:01:25,25.226,5.107
09:01:26,25.004,5.051
09:01:26,25.897,5.274
09:01:26,23.425,4.656
09:01:26,23.084,4.571
09:01:26,23.539,4.685
09:01:26,24.046,4.812
09:01:26,23.654,4.713
09:01:26,23.393,4.648
09:01:26,23.397,4.649
09:01:26,23.358,4.640
09:01:26,23.373,4.643
09:01:26,23.443,4.661
09:01:26,23.488,4.672
09:01:26,23.487,4.672
09:01:26,23.645,4.711
09:01:26,23.600,4.700
09:01:26,23.298,4.624
09:01:26,23.539,4.685
09:01:26,23.131,4.583
09:01:26,24.274,4.869
09:01:26,22.550,4.437
09:01:27,22.277,4.369
09:01:27,20.761,3.990
09:01:27,23.378,4.644
09:01:27,23.935,4.784
09:01:27,24.122,4.830
09:01:27,23.631,4.708
09:01:27,23.653,4.713
09:01:27,23.494,4.673
09:01:27,23.390,4.648
09:01:27,23.207,4.602
09:01:27,23.908,4.777
09:01:27,23.903,4.776
09:01:27,23.638,4.709
09:01:27,23.860,4.765
09:01:27,23.562,4.690
09:01:27,23.252,4.613
09:01:27,23.815,4.754
09:01:27,23.132,4.583
09:01:27,22.934,4.534
09:01:27,23.421,4.655
09:01:28,23.187,4.597
09:01:28,23.858,4.765
09:01:28,24.110,4.828
09:01:28,23.965,4.791
09:01:28,23.529,4.682
09:01:28,23.307,4.627
09:01:28,23.901,4.775
09:01:28,23.963,4.791
09:01:28,24.021,4.805
09:01:28,24.043,4.811
09:01:28,23.882,4.770
09:01:28,23.479,4.670
09:01:28,23.481,4.670
09:01:28,23.512,4.678
09:01:28,23.410,4.652
09:01:28,21.390,4.148
09:01:28,21.000,4.050
09:01:28,20.588,3.947
09:01:28,20.358,3.890
09:01:29,20.128,3.832
09:01:29,20.066,3.816
09:01:29,20.312,3.878
09:01:29,20.577,3.944
09:01:29,20.853,4.013
09:01:29,21.010,4.052
09:01:29,21.015,4.054
09:01:29,20.949,4.037
09:01:29,20.915,4.029
09:01:29,20.990,4.048
09:01:29,21.113,4.078
09:01:29,21.306,4.126
09:01:29,21.530,4.182
09:01:29,21.762,4.240
09:01:29,21.946,4.286
09:01:29,22.017,4.304
09:01:29,21.927,4.282
09:01:29,21.895,4.274
09:01:29,22.038,4.310
09:01:29,22.141,4.335
09:01:29,22.257,4.364
09:01:30,22.388,4.397
09:01:30,22.493,4.423
09:01:30,22.592,4.448
09:01:30,22.632,4.458
09:01:30,22.658,4.465
09:01:30,22.688,4.472
09:01:30,22.737,4.484
09:01:30,22.730,4.482
09:01:30,22.678,4.469
09:01:30,22.611,4.453
09:01:30,22.448,4.412
09:01:30,22.277,4.369
09:01:30,22.067,4.317
09:01:30,21.645,4.211
09:01:30,19.194,3.599
09:01:30,22.049,4.312
09:01:30,20.111,3.828
09:01:30,17.410,3.152
09:01:30,20.257,3.864
09:01:30,20.502,3.925
09:01:31,17.861,3.265
09:01:31,18.067,3.317
09:01:31,20.989,4.047
09:01:31,23.312,4.628
09:01:31,21.083,4.071
09:01:31,23.022,4.556
09:01:31,23.958,4.790
09:01:31,25.151,5.088
09:01:31,27.490,5.672
09:01:31,30.186,6.347
09:01:31,27.670,5.717
09:01:31,25.377,5.144
09:01:31,23.951,4.788
09:01:31,24.696,4.974
09:01:31,26.385,5.396
09:01:31,23.628,4.707
09:01:31,26.600,5.450
09:01:31,25.223,5.106
09:01:31,24.918,5.029
09:01:32,23.836,4.759
09:01:32,23.362,4.641
09:01:32,23.470,4.668
09:01:32,24.750,4.988
09:01:32,25.928,5.282
09:01:32,26.994,5.549
09:01:32,28.129,5.832
09:01:32,29.374,6.143
09:01:32,30.835,6.509
09:01:32,32.297,6.874
09:01:32,33.567,7.192
09:01:32,34.673,7.468
09:01:32,36.385,7.896
09:01:32,35.343,7.636
09:01:32,32.318,6.879
09:01:32,29.610,6.203
09:01:32,27.692,5.723
09:01:32,26.173,5.343
09:01:32,24.900,5.025
09:01:32,23.675,4.719
09:01:33,25.034,5.059
09:01:33,27.568,5.692
09:01:33,24.815,5.004
09:01:33,25.122,5.081
09:01:33,25.046,5.061
09:01:33,27.659,5.715
09:01:33,27.927,5.782
09:01:33,25.427,5.157
09:01:33,26.225,5.356
09:01:33,23.388,4.647
09:01:33,22.999,4.550
09:01:33,24.399,4.900
09:01:33,27.540,5.685
09:01:33,30.521,6.430
09:01:33,31.779,6.745
09:01:33,31.971,6.793
09:01:33,29.675,6.219
09:01:33,29.536,6.184
09:01:33,29.718,6.230
09:01:33,30.222,6.356
09:01:33,30.960,6.540
09:01:34,32.263,6.866
09:01:34,33.173,7.093
09:01:34,33.289,7.122
09:01:34,32.926,7.031
09:01:34,32.740,6.985
09:01:34,32.637,6.959
09:01:34,32.635,6.959
09:01:34,32.697,6.974
09:01:34,32.756,6.989
09:01:34,32.937,7.034
09:01:34,33.274,7.119
09:01:34,33.641,7.210
09:01:34,34.186,7.347
09:01:34,34.675,7.469
09:01:34,34.944,7.536
09:01:34,34.973,7.543
09:01:34,34.700,7.475
09:01:34,34.518,7.429
09:01:34,34.388,7.397
09:01:35,34.292,7.373
09:01:35,34.275,7.369
09:01:35,33.926,7.281
09:01:35,32.704,6.976
09:01:35,32.699,6.975
09:01:35,32.690,6.972
09:01:35,32.700,6.975
09:01:35,32.694,6.973
09:01:35,32.686,6.971
09:01:35,32.695,6.974
09:01:35,32.694,6.974
09:01:35,32.692,6.973
09:01:35,32.691,6.973
09:01:35,32.702,6.975
09:01:35,32.696,6.974
09:01:35,32.690,6.973
09:01:35,32.668,6.967
09:01:35,32.657,6.964
09:01:35,32.664,6.966
09:01:35,32.663,6.966
09:01:36,32.626,6.957
09:01:36,32.666,6.966
09:01:36,32.711,6.978
09:01:36,32.660,6.965
09:01:36,32.687,6.972
09:01:36,32.691,6.973
09:01:36,32.671,6.968
09:01:36,32.695,6.974
09:01:36,32.683,6.971
09:01:36,32.677,6.969
09:01:36,32.690,6.973
09:01:36,32.670,6.968
09:01:36,32.679,6.970
09:01:36,32.691,6.973
09:01:36,32.677,6.969
09:01:36,32.697,6.974
09:01:36,32.693,6.973
09:01:36,32.687,6.972
09:01:36,32.688,6.972
09:01:36,32.670,6.967
09:01:36,32.686,6.971
09:01:37,32.683,6.971
09:01:37,32.684,6.971
09:01:37,32.691,6.973
09:01:37,32.699,6.975
09:01:37,32.663,6.966
09:01:37,32.692,6.973
09:01:37,32.702,6.975
09:01:37,32.689,6.972
09:01:37,32.704,6.976
09:01:37,32.690,6.972
09:01:37,32.697,6.974
09:01:37,32.696,6.974
09:01:37,32.679,6.970
09:01:37,32.697,6.974
09:01:37,32.698,6.974
09:01:37,32.691,6.973
09:01:37,32.690,6.972
09:01:37,32.691,6.973
09:01:37,32.707,6.977
09:01:38,32.693,6.973
09:01:38,32.692,6.973
09:01:38,32.694,6.974
09:01:38,32.693,6.973
09:01:38,32.702,6.975
09:01:38,32.694,6.974
09:01:38,32.702,6.976
09:01:38,32.703,6.976
09:01:38,32.694,6.973
09:01:38,32.705,6.976
09:01:38,32.706,6.977
09:01:38,32.669,6.967
09:01:38,32.662,6.966
09:01:38,32.667,6.967
09:01:38,32.652,6.963
09:01:38,32.637,6.959
09:01:38,32.639,6.960
